trade_date,开盘,close,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,3864.84,3887.9,3893.99,3831.25,115051875,207540165953.2,1.62,0.42,16.27,0.35
2023-01-04,3886.25,3892.95,3905.9,3873.65,110660743,198997711686.0,0.83,0.13,5.05,0.34
2023-01-05,3913.49,3968.58,3974.88,3912.26,116502395,256312608292.0,1.61,1.94,75.63,0.36
2023-01-06,3969.55,3980.89,4000.41,3966.47,110953038,235744305582.2,0.86,0.31,12.31,0.34
2023-01-09,3998.53,4013.12,4023.09,3990.71,117054425,233212426458.1,0.81,0.81,32.23,0.36
2023-01-10,4014.71,4017.47,4030.46,4002.23,101751141,214871166239.5,0.7,0.11,4.35,0.31
2023-01-11,4019.88,4010.03,4043.4,4008.02,99997889,203000262960.6,0.88,-0.19,-7.44,0.31
2023-01-12,4021.75,4017.87,4030.29,4003.51,90552627,183686268106.8,0.67,0.2,7.84,0.28
2023-01-13,4032.29,4074.38,4074.38,4027.89,95871896,212173997498.4,1.16,1.41,56.51,0.29
2023-01-16,4077.88,4137.96,4177.1,4076.64,151395455,319007749371.3,2.47,1.56,63.58,0.46
2023-01-17,4138.84,4137.24,4148.58,4118.16,95479040,204381576523.4,0.74,-0.02,-0.72,0.29
2023-01-18,4140.1,4130.31,4151.46,4125.77,84200645,172126171819.2,0.62,-0.17,-6.93,0.26
2023-01-19,4125.58,4156.01,4156.01,4105.98,94608398,192699589774.1,1.21,0.62,25.7,0.29
2023-01-20,4166.84,4181.53,4189.83,4161.67,123553809,222342455100.7,0.68,0.61,25.52,0.38
2023-01-30,4267.62,4201.35,4268.15,4197.86,164607064,330193322092.2,1.68,0.47,19.82,0.5
2023-01-31,4200.58,4156.86,4212.73,4153.05,124550835,249365321627.1,1.42,-1.06,-44.49,0.38
2023-02-01,4170.13,4195.93,4195.93,4137.77,141008954,265553944709.3,1.4,0.94,39.07,0.43
2023-02-02,4207.41,4181.15,4207.41,4170.56,133823736,262497434837.0,0.88,-0.35,-14.78,0.41
2023-02-03,4162.03,4141.63,4162.03,4103.17,117041221,226914770043.9,1.41,-0.95,-39.52,0.36
2023-02-06,4103.83,4086.88,4105.94,4065.22,110192717,226345113968.7,0.98,-1.32,-54.75,0.34
2023-02-07,4098.31,4094.23,4107.34,4077.96,91360072,183537351577.1,0.72,0.18,7.35,0.28
2023-02-08,4099.86,4076.14,4111.47,4072.65,84786099,170591751817.3,0.95,-0.44,-18.09,0.26
2023-02-09,4067.56,4130.86,4130.86,4064.75,102289961,211722604859.2,1.62,1.34,54.72,0.31
2023-02-10,4124.1,4106.31,4125.29,4092.35,96716733,195348320573.4,0.8,-0.59,-24.55,0.3
2023-02-13,4098.88,4143.57,4146.45,4092.27,128892577,251990181553.9,1.32,0.91,37.26,0.39
2023-02-14,4151.25,4145.29,4152.05,4125.26,102499890,204915435749.9,0.65,0.04,1.72,0.31
2023-02-15,4146.85,4123.69,4153.72,4115.97,121664508,219855528966.4,0.91,-0.52,-21.6,0.37
2023-02-16,4125.41,4093.49,4167.9,4068.86,159310585,281315625588.6,2.4,-0.73,-30.2,0.49
2023-02-17,4086.22,4034.51,4104.64,4032.93,116142589,225737746955.0,1.75,-1.44,-58.98,0.36
2023-02-20,4039.96,4133.49,4134.86,4035.48,161794481,280122962150.4,2.46,2.45,98.98,0.5
2023-02-21,4130.06,4144.35,4151.8,4116.27,145776173,249674201048.2,0.86,0.26,10.86,0.45
2023-02-22,4118.97,4106.95,4134.88,4101.86,104290295,191586158991.2,0.8,-0.9,-37.4,0.32
2023-02-23,4106.21,4103.65,4132.39,4088.21,103564906,197193582430.1,1.08,-0.08,-3.3,0.32
2023-02-24,4100.99,4061.05,4102.61,4048.24,100989425,191210465053.2,1.32,-1.04,-42.6,0.31
2023-02-27,4040.46,4043.84,4067.03,4034.52,93787630,187959491145.3,0.8,-0.42,-17.21,0.29
2023-02-28,4058.13,4069.46,4074.26,4026.45,110323591,198799712379.1,1.18,0.63,25.62,0.34
2023-03-01,4068.73,4126.94,4135.48,4061.22,156015794,255374791015.7,1.82,1.41,57.48,0.48
2023-03-02,4119.99,4117.74,4137.25,4113.83,148217637,235953764969.5,0.57,-0.22,-9.2,0.45
2023-03-03,4126.02,4130.55,4135.21,4100.38,160331741,226914545628.4,0.85,0.31,12.81,0.49
2023-03-06,4131.15,4109.01,4132.84,4088.45,162971807,283079861971.5,1.07,-0.52,-21.54,0.5
2023-03-07,4103.64,4048.85,4124.96,4046.57,195912068,272491994009.2,1.91,-1.46,-60.16,0.6
2023-03-08,4030.74,4034.11,4037.29,4011.52,117936493,191659655190.9,0.64,-0.36,-14.74,0.36
2023-03-09,4035.84,4019.85,4043.85,4000.89,116539629,201737990686.8,1.06,-0.35,-14.26,0.36
2023-03-10,3991.8,3967.14,4004.36,3966.43,123855409,218286956131.0,0.94,-1.31,-52.71,0.38
2023-03-13,3962.64,4008.69,4008.69,3962.64,143561370,242865516757.6,1.16,1.05,41.55,0.44
2023-03-14,3999.88,3984.7,4001.94,3946.94,150544174,267224848810.5,1.37,-0.6,-23.99,0.46
2023-03-15,4011.84,3986.9,4018.75,3986.9,142026007,232101093978.6,0.8,0.06,2.2,0.44
2023-03-16,3958.2,3939.15,3981.32,3936.48,152515644,246264286428.0,1.12,-1.2,-47.75,0.47
2023-03-17,3971.16,3958.82,4004.22,3945.25,177433818,305541015556.1,1.5,0.5,19.67,0.54
2023-03-20,3962.66,3939.08,3979.55,3935.02,205264970,319760032638.0,1.12,-0.5,-19.74,0.63
2023-03-21,3948.16,3982.38,3982.7,3948.16,145090679,251631985016.9,0.88,1.1,43.3,0.44
2023-03-22,3993.78,3999.44,4016.45,3986.71,149228970,265180992104.1,0.75,0.43,17.06,0.46
2023-03-23,3985.99,4039.09,4039.09,3984.0,158887421,296479529467.0,1.38,0.99,39.65,0.49
2023-03-24,4035.16,4027.05,4037.84,4017.0,159442330,295785588943.1,0.52,-0.3,-12.04,0.49
2023-03-27,4023.3,4012.48,4023.3,3987.03,168482279,315474696948.0,0.9,-0.36,-14.57,0.52
2023-03-28,4015.7,3999.51,4023.78,3994.6,131895117,248736920971.8,0.73,-0.32,-12.97,0.4
2023-03-29,4013.59,4006.14,4017.76,3992.67,133743510,263866922733.1,0.63,0.17,6.63,0.41
2023-03-30,4009.56,4038.53,4040.5,3983.9,149901037,280004715991.0,1.41,0.81,32.39,0.46
2023-03-31,4045.45,4050.93,4063.57,4039.96,138842546,279863685781.0,0.58,0.31,12.4,0.43
2023-04-03,4059.62,4090.57,4094.94,4059.06,182124313,382895558426.0,0.89,0.98,39.64,0.56
2023-04-04,4089.29,4103.11,4103.16,4080.07,197146631,394443175146.2,0.56,0.31,12.54,0.6
2023-04-06,4084.13,4096.64,4098.83,4078.4,150703374,328981851588.3,0.5,-0.16,-6.47,0.46
2023-04-07,4096.9,4123.28,4131.31,4092.18,128676738,286567771883.1,0.96,0.65,26.64,0.39
2023-04-10,4132.01,4104.81,4132.3,4099.05,152453002,340822557207.6,0.81,-0.45,-18.47,0.47
2023-04-11,4108.51,4100.15,4116.12,4083.49,153901333,324192951998.7,0.79,-0.11,-4.66,0.47
2023-04-12,4102.4,4097.29,4108.25,4090.28,165965278,325425226403.2,0.44,-0.07,-2.86,0.51
2023-04-13,4081.39,4068.98,4088.88,4059.57,156444295,300291020752.9,0.72,-0.69,-28.31,0.48
2023-04-14,4078.97,4092.0,4098.22,4075.2,150695682,306201501438.7,0.57,0.57,23.02,0.46
2023-04-17,4090.07,4149.38,4149.38,4089.51,188773095,341831272792.7,1.46,1.4,57.38,0.58
2023-04-18,4139.31,4162.03,4169.67,4138.46,170184130,331545662315.6,0.75,0.3,12.65,0.52
2023-04-19,4159.39,4124.56,4159.39,4118.63,162554592,312219504522.6,0.98,-0.9,-37.47,0.5
2023-04-20,4122.95,4113.02,4125.82,4094.0,162706677,332172409512.0,0.77,-0.28,-11.54,0.5
2023-04-21,4114.26,4032.57,4114.26,4031.91,180802435,347852011602.5,2.0,-1.96,-80.45,0.55
2023-04-24,4031.3,3982.64,4033.64,3967.91,170099217,328375614674.3,1.63,-1.24,-49.93,0.52
2023-04-25,3985.11,3962.67,3991.69,3925.44,172555409,331110619767.7,1.66,-0.5,-19.97,0.53
2023-04-26,3950.26,3959.23,3975.66,3934.66,162702006,322062811333.5,1.03,-0.09,-3.44,0.5
